Department,Month,Month Name,Budget Allocated,Actual Spending,Revenue Generated,Profit or Loss
Sales,2021-01-01,January,30530.73,30197.08,90833.67,60636.59
Marketing,2021-01-01,January,44620.57,0.0,1053.01,-20645.11
Operations,2021-01-01,January,33984.83,51386.99,84926.43,33539.439999999995
HR,2021-01-01,January,45039.06,13950.2,65858.33,51908.130000000005
Marketing,2021-01-01,January,7224.8,20417.77,0.0,28710.22
Sales,2021-01-01,January,23943.74,23273.66,81544.6,58270.94
R&D,2021-01-01,January,22426.15,13224.5,22780.45,9555.95
R&D,2021-01-01,January,39708.96,24720.96,16044.39,-8676.57
R&D,2021-01-01,January,37136.17,52373.86,68235.71,15861.850000000006
Operations,2021-01-01,January,9198.47,46459.14,9635.84,-36823.3
IT,2021-01-01,January,0.0,46225.96,98315.41,52089.45
HR,2021-01-01,January,26509.52,13320.5,61876.8,48556.3
R&D,2021-01-01,January,47429.86,0.0,59087.97,41881.09
Marketing,2021-01-01,January,11710.74,25686.37,12141.15,-13545.22
Operations,2021-01-01,January,48778.79,41950.13,30179.36,-11770.769999999997
Marketing,2021-01-01,January,45105.03,21159.81,93154.15,71994.34
Marketing,2021-01-01,January,29891.36,50438.36,62175.45,11737.089999999997
Sales,2021-01-01,January,25712.84,37958.16,96747.95,58789.78999999999
Operations,2021-01-01,January,19861.25,48727.1,91942.48,43215.38
Sales,2021-01-01,January,32187.26,49782.63,35299.79,-14482.839999999997
R&D,2021-01-01,January,44858.77,55690.75,23837.56,-31853.19
R&D,2021-01-01,January,40400.37,22474.8,29976.55,7501.75
IT,2021-01-01,January,43546.64,19408.13,85028.34,65620.20999999999
Operations,2021-01-01,January,28898.44,5440.24,67192.24,61752.00000000001
HR,2021-01-01,January,46248.1,48902.75,14044.28,-34858.47
Marketing,2021-01-01,January,24946.68,3838.96,92186.66,88347.7
HR,2021-01-01,January,0.0,44799.33,64190.46,19391.13
Operations,2021-01-01,January,34949.75,43819.6,89422.2,45602.6
R&D,2021-01-01,January,46288.6,59234.47,0.0,21750.60000000001
HR,2021-01-01,January,39738.17,59409.95,0.0,-23563.84
Sales,2021-01-01,January,9955.68,27246.32,2449.39,-24796.93
Operations,2021-01-01,January,25181.35,23553.96,69429.24,45875.280000000006
Operations,2021-01-01,January,21819.92,52330.9,35034.11,-17296.79
Sales,2021-01-01,January,38212.99,54123.08,27597.58,-26525.5
Marketing,2021-01-01,January,48152.82,48730.16,71193.93,22463.76999999999
HR,2021-01-01,January,36710.0,19408.83,94576.61,75167.78
HR,2021-01-01,January,38034.28,18794.04,67666.2,48872.16
IT,2021-01-01,January,18751.15,18054.66,95700.03,77645.37
IT,2021-01-01,January,38285.34,25568.3,25556.54,-11.7599999999984
Operations,2021-01-01,January,10617.15,51834.27,67793.75,15959.480000000003
Sales,2021-01-01,January,34601.62,19152.81,0.0,2526.6399999999994
IT,2021-01-01,January,33961.61,31101.18,95232.98,64131.8
Sales,2021-02-01,February,11629.81,51792.26,29354.72,-22437.54
Marketing,2021-02-01,February,34716.88,17299.63,18199.45,899.8199999999997
HR,2021-02-01,February,41266.07,14802.37,89932.33,75129.96
Marketing,2021-02-01,February,25022.93,44466.96,56845.74,12378.78
Marketing,2021-02-01,February,47596.61,13478.16,45549.68,32071.52
HR,2021-02-01,February,35891.93,25672.95,55762.5,30089.55
Marketing,2021-02-01,February,36081.61,50833.08,56016.35,5183.269999999997
R&D,2021-02-01,February,12378.4,10135.7,0.0,2691.73
HR,2021-02-01,February,35355.42,43752.63,23915.08,-19837.55
Operations,2021-02-01,February,30625.48,5269.76,57297.09,52027.33
IT,2021-02-01,February,40659.79,33513.21,70788.96,37275.75000000001
Marketing,2021-02-01,February,29181.74,37527.05,67425.5,29898.45
Marketing,2021-02-01,February,22380.96,37314.8,31100.8,-6214.000000000004
Marketing,2021-02-01,February,15594.18,34731.0,61382.32,26651.32
Sales,2021-02-01,February,39263.64,49752.16,43016.37,-6735.790000000001
HR,2021-02-01,February,46286.35,20797.0,12100.81,-8696.19
Marketing,2021-02-01,February,27506.07,42617.22,65774.99,23157.770000000004
HR,2021-02-01,February,14521.15,23314.89,3688.47,-19626.42
HR,2021-02-01,February,40986.81,31320.74,61492.0,30171.26
Operations,2021-02-01,February,29044.37,5291.28,55115.04,49823.76
Marketing,2021-02-01,February,47147.83,10494.53,69257.85,58763.32000000001
Sales,2021-02-01,February,20901.13,9706.38,91967.77,82261.39
IT,2021-02-01,February,13878.58,35966.42,19094.27,-16872.149999999998
Sales,2021-02-01,February,17297.52,40931.66,94281.18,53349.51999999999
IT,2021-02-01,February,41137.98,8916.58,16722.3,7805.719999999999
Sales,2021-02-01,February,19916.72,30127.2,59681.27,29554.07
IT,2021-02-01,February,41790.33,45565.36,70073.4,24508.039999999997
R&D,2021-02-01,February,0.0,54760.51,2228.04,-52532.47
HR,2021-02-01,February,25778.01,22694.48,15043.28,-7651.199999999999
IT,2021-02-01,February,27201.63,27726.23,13007.62,-14718.61
Sales,2021-02-01,February,40585.1,54160.2,79963.51,25803.31
R&D,2021-02-01,February,30870.27,32788.56,82478.07,49689.51000000001
Marketing,2021-02-01,February,33553.29,8808.29,20555.18,11746.89
R&D,2021-02-01,February,15655.0,10503.08,5358.69,-5144.39
HR,2021-02-01,February,23582.09,34741.7,76421.17,41679.47
Marketing,2021-02-01,February,30382.1,4097.53,45944.34,41846.81
Operations,2021-02-01,February,24282.42,57864.13,56832.96,-1031.1699999999985
HR,2021-02-01,February,12679.98,39912.0,30144.08,-9767.919999999998
Marketing,2021-02-01,February,22704.06,17040.47,13438.32,-3602.150000000001
Operations,2021-03-01,March,39774.8,37947.13,56407.45,18460.32
Marketing,2021-03-01,March,16271.96,0.0,68055.52,61603.34
Operations,2021-03-01,March,47173.55,13643.92,0.0,30313.47
R&D,2021-03-01,March,40495.5,31046.3,19404.05,-11642.25
IT,2021-03-01,March,22115.75,9162.72,71603.88,62441.16
HR,2021-03-01,March,49486.42,25876.91,62244.38,36367.47
Sales,2021-03-01,March,32553.72,23658.94,89559.28,65900.34
IT,2021-03-01,March,34951.99,42229.71,58688.21,16458.5
HR,2021-03-01,March,42908.45,25199.96,63193.53,37993.57
Sales,2021-03-01,March,0.0,56110.52,83977.37,27866.85
Marketing,2021-03-01,March,33636.49,31639.83,43478.12,11838.29
Sales,2021-03-01,March,17979.91,25162.97,95538.07,70375.1
R&D,2021-03-01,March,44649.23,19683.16,5728.99,-13954.17
Sales,2021-03-01,March,15721.93,23027.93,7910.84,-15117.09
Marketing,2021-03-01,March,25191.49,57878.55,73238.15,15359.599999999991
Sales,2021-03-01,March,41658.45,28893.03,29065.11,172.08000000000175
HR,2021-03-01,March,15819.88,0.0,34543.47,28673.27
IT,2021-03-01,March,21575.49,33820.88,43537.95,9717.07
Operations,2021-03-01,March,27715.87,0.0,83589.67,64245.78
Marketing,2021-03-01,March,33755.53,35873.97,6638.81,-29235.16
IT,2021-03-01,March,43485.58,46410.85,15968.61,-30442.24
HR,2021-03-01,March,20881.21,8374.99,95016.66,86641.67
HR,2021-03-01,March,13147.18,37191.02,36864.15,-326.86999999999534
Marketing,2021-03-01,March,14111.92,30178.63,86187.48,56008.84999999999
Operations,2021-03-01,March,39008.55,19976.51,76127.91,56151.40000000001
Sales,2021-03-01,March,0.0,0.0,84806.55,74751.23000000001
HR,2021-03-01,March,31139.84,50647.23,65299.52,14652.289999999994
Sales,2021-03-01,March,28718.29,21292.0,24146.59,2854.59
Sales,2021-03-01,March,12981.3,40322.05,2094.49,-38227.560000000005
Marketing,2021-03-01,March,49178.53,46505.88,38714.71,-7791.169999999998
HR,2021-03-01,March,40469.14,51195.45,67629.77,16434.320000000007
Operations,2021-03-01,March,15062.4,4208.86,26532.01,22323.15
Operations,2021-03-01,March,24040.93,45695.93,5448.08,-40247.85
Sales,2021-03-01,March,36405.39,29758.7,37726.06,7967.359999999997
Operations,2021-03-01,March,31170.15,49942.12,3803.34,-46138.78
Operations,2021-03-01,March,15539.76,6913.51,8864.64,1951.1299999999992
Marketing,2021-03-01,March,32786.27,52400.53,46350.97,-6049.559999999998
IT,2021-03-01,March,15401.55,36159.68,6150.77,-30008.91
Sales,2021-03-01,March,20007.14,49679.86,80724.45,31044.59
Operations,2021-03-01,March,20353.55,16635.03,29558.35,12923.32
Marketing,2021-03-01,March,49690.95,6116.34,19926.65,13810.31
Operations,2021-03-01,March,19657.28,27153.97,0.0,-9557.29
IT,2021-03-01,March,19810.01,45251.51,41353.63,-3897.8800000000047
HR,2021-03-01,March,0.0,17195.34,88189.94,70994.6
IT,2021-04-01,April,45627.06,36648.11,42780.16,6132.050000000003
IT,2021-04-01,April,23250.49,47236.85,45404.8,-1832.049999999996
R&D,2021-04-01,April,22633.47,5381.99,71923.77,66541.78
Operations,2021-04-01,April,20329.01,54032.48,41807.03,-12225.450000000004
Marketing,2021-04-01,April,31714.01,18747.77,77465.86,58718.09
HR,2021-04-01,April,38902.33,27354.06,24348.47,-3005.59
